frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
6,3.93,143,0.21803795385415659,0.01823324967888332,Random-285,rv2_coarse,random
7,4.7,140,-0.12212553283205581,-0.01032149136839991,Random-285,rv2_coarse,random
8,6.55,140,-2.1306808328477933,-0.1800753971349812,Random-285,rv2_coarse,random
9,9.18,137,1.806666436869381,0.1543539305279211,Random-285,rv2_coarse,random
1,0.45,150,-0.6514682938651698,-0.05319216345237302,Random-286,rv2_coarse,random
2,0.7,151,-3.31751775792241,-0.26997576631656306,Random-286,rv2_coarse,random
3,0.9,152,-7.516040966520128,-0.6096314234329626,Random-286,rv2_coarse,random
4,1.31,151,-6.2117379619926485,-0.50550406623803,Random-286,rv2_coarse,random
5,2.2,154,-5.257749161388637,-0.4236815013332149,Random-286,rv2_coarse,random
6,3.93,154,0.908024981134313,0.07317073817067421,Random-286,rv2_coarse,random
7,4.7,152,0.24162369374912124,0.019598269489423295,Random-286,rv2_coarse,random
8,6.55,150,-4.132078232491477,-0.3373827748955172,Random-286,rv2_coarse,random
9,9.18,147,4.345545526106435,0.35841455418190343,Random-286,rv2_coarse,random
1,0.45,159,1.195424625439952,0.09480333948116726,Random-287,rv2_coarse,random
2,0.7,160,-3.536239829574263,-0.2795643053515083,Random-287,rv2_coarse,random
3,0.9,160,1.088150874258389,0.08602588001399988,Random-287,rv2_coarse,random
